#{"t_start": 1592293946.6467316, "env_id": null}
r,l,t
37,10,1.15728
-55,10,1.178188
17,10,1.198135
13,10,1.218081
-15,10,1.23703
-61,10,1.256857
14,10,1.280797
-78,10,1.310751
-76,10,1.340634
25,10,1.371553
-98,10,1.396484
-87,10,1.421419
59,10,1.792394
-35,10,1.817327
11,10,1.841263
31,10,1.864201
-78,10,1.887142
-41,10,1.909087
-12,10,1.933018
-55,10,1.954959
-101,10,1.979271
5,10,2.004166
-61,10,2.0271
-41,10,2.051036
-147,10,2.074011
-61,10,2.127866
31,10,2.147815
-12,10,2.165727
8,10,2.184676
-44,10,2.203665
-67,10,2.221614
-23,10,2.240575
-41,10,2.258526
5,10,2.277476
11,10,2.29539
68,10,2.313378
-24,10,2.333327
-6,10,2.352238
128,10,2.400149
56,10,2.419058
10,10,2.445988
-155,10,2.469921
48,10,2.49462
-35,10,2.517556
-15,10,2.541529
-81,10,2.564434
60,10,2.589402
11,10,2.612303
-81,10,2.641228
-84,10,2.667158
-193,10,2.687105
-161,10,2.730987
-9,10,2.754924
-35,10,2.776865
-12,10,2.792821
-32,10,2.811066
28,10,2.82902
5,10,2.847007
-30,10,2.86588
39,10,2.884123
-150,10,2.901116
-35,10,2.919066
-12,10,2.936982
-9,10,2.955932
2,10,3.003834
-135,10,3.020908
19,10,3.040815
-41,10,3.05942
99,10,3.078487
-66,10,3.096262
-35,10,3.113566
-1,10,3.133511
-104,10,3.153118
-75,10,3.17095
-27,10,3.188698
-72,10,3.206996
-18,10,3.257929
11,10,3.275918
-78,10,3.293851
-44,10,3.311154
-4,10,3.330004
11,10,3.349916
-81,10,3.367868
-86,10,3.385585
-95,10,3.403341
-98,10,3.421467
-27,10,3.439706
-181,10,3.45851
-81,10,3.475813
-29,10,3.524244
-18,10,3.544907
-109,10,3.564823
-67,10,3.586761
-32,10,3.6087
-18,10,3.633671
-46,10,3.653581
74,10,3.674357
42,10,3.693306
-64,10,3.714066
11,10,3.736006
-41,10,3.760161
16,10,3.780109
-64,10,3.829604
-81,10,3.886454
-101,10,3.968235
48,10,4.014111
-27,10,4.147276
-50,10,4.185171
-70,10,4.217085
2,10,4.250993
-41,10,4.27792
-98,10,4.303853
28,10,4.330784
-38,10,4.357709
5,10,4.386631
-41,10,4.452968
-107,10,4.482133
-12,10,4.510057
-67,10,4.537994
-29,10,4.561929
-138,10,4.584026
28,10,4.612949
-78,10,4.644865
-156,10,4.670794
-135,10,4.689743
-26,10,4.706697
-18,10,4.725647
8,10,4.746593
-58,10,4.794379
-87,10,4.818317
-141,10,4.836267
17,10,4.854219
-35,10,4.871219
16,10,4.890198
-18,10,4.908154
-18,10,4.926108
-104,10,4.942041
-144,10,4.961023
54,10,4.984958
-72,10,5.00786
-49,10,5.067701
-55,10,5.092636
-21,10,5.11657
114,10,5.162448
-61,10,5.196356
-144,10,5.223284
-64,10,5.248218
-35,10,5.273151
11,10,5.304068
34,10,5.333989
19,10,5.360915
-29,10,5.387845
8,10,5.41178
-64,10,5.52348
-84,10,5.54642
-58,10,5.572351
8,10,5.598282
-35,10,5.615237
51,10,5.633189
-35,10,5.651142
5,10,5.671088
-78,10,5.689039
5,10,5.707989
-147,10,5.72694
25,10,5.755861
31,10,5.784782
8,10,5.857589
-58,10,5.884516
-9,10,5.910447
-26,10,5.937377
-72,10,5.96131
42,10,5.990234
2,10,6.019155
-55,10,6.042094
-15,10,6.066031
-15,10,6.08897
-15,10,6.110912
-15,10,6.134847
-133,10,6.154792
-73,10,6.198676
-32,10,6.217624
51,10,6.237571
-95,10,6.254526
-93,10,6.27218
-27,10,6.290133
36,10,6.309923
-15,10,6.329322
-87,10,6.350854
-38,10,6.374836
-23,10,6.398769
-115,10,6.422707
28,10,6.45067
105,10,6.513372
-66,10,6.539303
-6,10,6.565236
-67,10,6.590168
17,10,6.617095
105,10,6.64304
-52,10,6.665965
-61,10,6.688903
-38,10,6.711841
-75,10,6.731787
37,10,6.75772
-26,10,6.77966
-64,10,6.837505
-92,10,6.859446
48,10,6.882661
-107,10,6.903605
-72,10,6.920559
37,10,6.937513
48,10,6.955465
