#{"t_start": 1589363563.0265014, "env_id": null}
r,l,t
-40,10,0.715741
36,10,0.730469
100,10,0.745805
60,10,0.761801
60,10,0.777641
16,10,0.793988
-43,10,0.809467
-3,10,0.826458
-63,10,0.841382
-104,10,0.855846
-65,10,0.870999
17,10,0.88592
-4,10,1.190464
40,10,1.205612
0,10,1.221989
56,10,1.238196
16,10,1.25316
37,10,1.269217
36,10,1.284177
-1,10,1.298681
17,10,1.314643
40,10,1.333591
-21,10,1.348587
-104,10,1.361938
80,10,1.377475
-105,10,1.419036
-62,10,1.433138
17,10,1.450007
60,10,1.46593
0,10,1.481439
-1,10,1.497337
80,10,1.512834
100,10,1.529217
-24,10,1.545281
-3,10,1.559242
-66,10,1.576234
13,10,1.593157
60,10,1.609427
60,10,1.652945
40,10,1.668904
-44,10,1.683509
-2,10,1.698743
55,10,1.714699
-83,10,1.727626
-63,10,1.742589
17,10,1.757584
-23,10,1.773232
20,10,1.788305
60,10,1.804118
-107,10,1.818328
-67,10,1.83528
-63,10,1.877895
-60,10,1.891731
20,10,1.907232
80,10,1.922228
94,10,1.939183
40,10,1.955854
15,10,1.970802
-2,10,1.987755
60,10,2.004709
-4,10,2.021664
60,10,2.038619
-86,10,2.054576
60,10,2.069535
80,10,2.11329
-4,10,2.127253
60,10,2.142252
-66,10,2.157984
72,10,2.172945
-45,10,2.188472
60,10,2.205221
-4,10,2.22022
-41,10,2.233978
-63,10,2.24935
0,10,2.263252
-6,10,2.279531
20,10,2.322923
80,10,2.340836
17,10,2.356492
80,10,2.372315
-46,10,2.388316
100,10,2.404272
-25,10,2.419083
40,10,2.436041
-42,10,2.451075
-4,10,2.465998
16,10,2.48162
40,10,2.497924
-6,10,2.51388
-64,10,2.557738
-26,10,2.573365
57,10,2.589357
-2,10,2.602482
40,10,2.617956
38,10,2.632956
100,10,2.650867
19,10,2.665652
-2,10,2.6813
60,10,2.696259
-106,10,2.710895
-21,10,2.724631
-110,10,2.73909
-88,10,2.781873
40,10,2.797452
40,10,2.813766
-24,10,2.828726
-3,10,2.845681
-41,10,2.860523
-4,10,2.875482
-44,10,2.890915
-3,10,2.905802
-65,10,2.920834
16,10,2.936
77,10,2.951957
55,10,2.968036
0,10,3.010697
-2,10,3.025692
-25,10,3.040619
20,10,3.055359
80,10,3.073271
38,10,3.101197
-106,10,3.117845
-24,10,3.13364
-44,10,3.14856
80,10,3.166072
80,10,3.180997
-23,10,3.195992
20,10,3.211285
18,10,3.253785
-64,10,3.268637
-2,10,3.283101
-107,10,3.297989
60,10,3.315115
-4,10,3.330087
15,10,3.348065
-63,10,3.362988
16,10,3.377946
20,10,3.392722
-105,10,3.406592
35,10,3.42255
-4,10,3.464437
40,10,3.481258
-44,10,3.496217
38,10,3.511173
17,10,3.526383
-106,10,3.541241
100,10,3.558188
-22,10,3.57442
-108,10,3.588927
-45,10,3.603356
80,10,3.618189
40,10,3.634188
0,10,3.649096
-4,10,3.690788
0,10,3.706476
-64,10,3.721933
-23,10,3.736235
38,10,3.751374
36,10,3.767329
18,10,3.782141
-24,10,3.797385
38,10,3.813004
-3,10,3.828009
38,10,3.845917
-41,10,3.860224
16,10,3.879636
0,10,3.927862
-22,10,3.941823
-21,10,3.957819
-5,10,3.972741
35,10,3.988698
-84,10,4.002778
20,10,4.019772
-3,10,4.034734
60,10,4.049661
-1,10,4.065652
-23,10,4.081256
-25,10,4.096179
56,10,4.111066
80,10,4.157212
60,10,4.174127
-66,10,4.188063
40,10,4.20602
-22,10,4.220685
-107,10,4.23564
-25,10,4.250631
20,10,4.265629
-104,10,4.27969
60,10,4.294717
-108,10,4.310345
-3,10,4.325307
-25,10,4.341227
80,10,4.387247
17,10,4.402093
37,10,4.417026
80,10,4.433552
35,10,4.449508
39,10,4.464568
20,10,4.479572
60,10,4.496487
-22,10,4.512445
18,10,4.527404
-44,10,4.542835
-44,10,4.556609
-109,10,4.599826
-110,10,4.614784
38,10,4.630477
40,10,4.646429
-3,10,4.66095
55,10,4.676958
-4,10,4.692472
-64,10,4.706434
16,10,4.72239
-83,10,4.735356
80,10,4.751673
-21,10,4.765593
38,10,4.781233
-84,10,4.823322
-2,10,4.83928
36,10,4.857231
73,10,4.872999
18,10,4.888578
0,10,4.903996
38,10,4.920664
100,10,4.936636
-1,10,4.952154
-5,10,4.966635
16,10,4.982632
-1,10,4.999585
36,10,5.018533
-65,10,5.060892
-66,10,5.074818
20,10,5.090777
-1,10,5.105773
100,10,5.122732
19,10,5.137651
-21,10,5.155021
-5,10,5.170943
-23,10,5.185451
55,10,5.205047
15,10,5.222902
-106,10,5.241854
-83,10,5.260116
60,10,5.312741
-85,10,5.329657
35,10,5.346611
39,10,5.361607
-1,10,5.375544
56,10,5.39149
-40,10,5.40545
-4,10,5.420789
38,10,5.436107
58,10,5.451034
-108,10,5.465651
-3,10,5.481344
80,10,5.497912
-21,10,5.542908
20,10,5.557649
39,10,5.572347
-5,10,5.588307
17,10,5.604263
-3,10,5.621219
59,10,5.638174
80,10,5.655139
80,10,5.673116
-24,10,5.690035
-110,10,5.708026
35,10,5.723944
-23,10,5.765787
60,10,5.781029
-45,10,5.795987
38,10,5.81056
-107,10,5.825521
-1,10,5.841524
-1,10,5.857627
36,10,5.87367
37,10,5.888289
-41,10,5.90315
-21,10,5.917316
-1,10,5.932575
-62,10,5.947545
-22,10,5.989775
37,10,6.005401
60,10,6.021313
18,10,6.037572
-3,10,6.052532
18,10,6.067289
40,10,6.083249
-110,10,6.098903
-2,10,6.113898
-43,10,6.129818
18,10,6.145776
-106,10,6.158742
15,10,6.174582
-25,10,6.217066
20,10,6.231987
40,10,6.247284
-3,10,6.262247
60,10,6.278507
60,10,6.294609
60,10,6.31029
-2,10,6.325204
-2,10,6.343199
80,10,6.362103
19,10,6.37693
60,10,6.392888
-42,10,6.408169
-107,10,6.450535
-2,10,6.465869
-22,10,6.480829
-62,10,6.494959
-64,10,6.509325
-42,10,6.523601
-3,10,6.53873
-22,10,6.554729
60,10,6.571172
-45,10,6.58613
80,10,6.601843
18,10,6.61722
100,10,6.633486
60,10,6.676624
80,10,6.692122
-23,10,6.708103
17,10,6.72388
35,10,6.738843
80,10,6.756031
-21,10,6.77055
-107,10,6.784469
58,10,6.800442
60,10,6.816749
-4,10,6.831586
19,10,6.848556
20,10,6.891801
-21,10,6.907373
19,10,6.922379
-42,10,6.936113
20,10,6.95207
60,10,6.968333
80,10,6.98429
-3,10,6.99931
40,10,7.015268
-1,10,7.030226
60,10,7.046536
-22,10,7.061056
-42,10,7.07498
60,10,7.118533
56,10,7.133494
15,10,7.1488
20,10,7.163761
80,10,7.180334
57,10,7.196149
-107,10,7.211073
80,10,7.22717
-2,10,7.242218
60,10,7.257647
20,10,7.2736
-84,10,7.286583
-23,10,7.302485
-22,10,7.346136
17,10,7.361696
-105,10,7.375657
-3,10,7.390935
-4,10,7.405169
-1,10,7.420164
-2,10,7.435165
16,10,7.451079
40,10,7.466611
-107,10,7.481529
19,10,7.496487
-23,10,7.511099
-63,10,7.526096
-1,10,7.568749
35,10,7.585093
80,10,7.602048
20,10,7.616559
59,10,7.631711
-20,10,7.645675
-1,10,7.661632
60,10,7.676591
58,10,7.692892
40,10,7.708128
-4,10,7.723051
60,10,7.737726
-23,10,7.752489
20,10,7.794687
-44,10,7.809293
19,10,7.824815
-43,10,7.839192
14,10,7.857251
19,10,7.872173
20,10,7.888171
20,10,7.902464
0,10,7.917425
60,10,7.932776
18,10,7.948732
0,10,7.9657
17,10,8.008572
-65,10,8.023381
39,10,8.038637
40,10,8.053597
38,10,8.069556
-20,10,8.084515
40,10,8.09988
60,10,8.115751
100,10,8.132709
