#{"t_start": 1589296336.5298102, "env_id": null}
r,l,t
10,30,0.712114
109,30,0.751983
80,30,0.790355
120,30,0.834441
260,30,1.109419
-128,30,1.146941
72,30,1.187249
34,30,1.227735
129,30,1.296206
-108,30,1.333863
-93,30,1.373258
-72,30,1.412929
-71,30,1.479015
160,30,1.523856
220,30,1.568064
-12,30,1.608949
67,30,1.650875
-50,30,1.717307
-49,30,1.754954
-71,30,1.795091
-131,30,1.832722
100,30,1.901539
75,30,1.941468
-322,30,1.988309
180,30,2.033259
-317,30,2.09544
8,30,2.135404
-53,30,2.175297
160,30,2.216033
280,30,2.288399
10,30,2.32763
100,30,2.36749
80,30,2.408634
31,30,2.449521
70,30,2.516309
-94,30,2.55321
164,30,2.594101
140,30,2.634992
200,30,2.701813
100,30,2.741706
-152,30,2.780545
-10,30,2.820038
50,30,2.888581
68,30,2.927511
47,30,2.968227
11,30,3.009783
12,30,3.075596
120,30,3.115978
200,30,3.160825
-319,30,3.19697
135,30,3.237025
127,30,3.307836
126,30,3.349617
200,30,3.393878
280,30,3.438402
48,30,3.507357
260,30,3.555222
167,30,3.602296
65,30,3.662128
220,30,3.755846
26,30,3.809695
200,30,3.866543
70,30,3.917408
260,30,3.963285
180,30,4.032138
90,30,4.070037
260,30,4.11488
6,30,4.154775
7,30,4.229573
-89,30,4.278442
160,30,4.331303
31,30,4.383164
4,30,4.471926
69,30,4.527776
240,30,4.582628
-131,30,4.628506
240,30,4.703306
180,30,4.742238
149,30,4.781099
120,30,4.82003
-12,30,4.856932
280,30,4.926708
108,30,4.965606
100,30,5.006541
186,30,5.058392
153,30,5.138856
89,30,5.177752
140,30,5.218608
71,30,5.25555
-15,30,5.322645
189,30,5.370517
65,30,5.413013
124,30,5.460765
280,30,5.540328
30,30,5.578264
220,30,5.625078
69,30,5.675946
121,30,5.723277
220,30,5.802026
-321,30,5.841919
-131,30,5.879818
-327,30,5.923736
88,30,6.012465
200,30,6.068802
200,30,6.126646
-58,30,6.186492
253,30,6.278242
-33,30,6.326112
47,30,6.377988
180,30,6.431832
48,30,6.514609
27,30,6.566471
91,30,6.61534
-13,30,6.664213
89,30,6.712081
86,30,6.78991
-106,30,6.822783
6,30,6.866699
5,30,6.906561
240,30,6.978311
146,30,7.022505
-320,30,7.070315
204,30,7.132149
-68,30,7.261801
300,30,7.370511
200,30,7.456282
127,30,7.528092
160,30,7.608873
200,30,7.743513
24,30,7.804349
124,30,7.865186
-319,30,7.929016
200,30,8.075624
32,30,8.152419
225,30,8.241181
82,30,8.307009
164,30,8.396766
300,30,8.461592
-33,30,8.518443
204,30,8.582267
186,30,8.673027
200,30,8.732865
279,30,8.792706
86,30,8.847559
6,30,8.902414
-315,30,8.986188
220,30,9.046031
125,30,9.105868
-319,30,9.19463
85,30,9.334769
240,30,9.452968
300,30,9.533557
260,30,9.608365
-30,30,9.70311
240,30,9.758963
144,30,9.812835
126,30,9.866692
120,30,9.958861
199,30,10.022687
-30,30,10.099481
165,30,10.208193
188,30,10.270029
165,30,10.374746
45,30,10.445556
44,30,10.511384
163,30,10.603136
260,30,10.718825
182,30,10.783655
142,30,10.848481
241,30,10.935247
87,30,11.022014
-81,30,11.072879
260,30,11.163636
163,30,11.23345
300,30,11.330193
238,30,11.394022
180,30,11.454857
102,30,11.516692
122,30,11.571545
280,30,11.661304
240,30,11.718669
162,30,11.77352
280,30,11.830371
261,30,11.919051
-320,30,11.964931
-16,30,12.012801
120,30,12.065661
-315,30,12.142454
300,30,12.201295
-323,30,12.248037
278,30,12.305174
205,30,12.358026
220,30,12.446007
261,30,12.502855
25,30,12.555714
280,30,12.615555
199,30,12.708343
85,30,12.757174
260,30,12.817015
300,30,12.871869
163,30,12.963622
80,30,13.017478
62,30,13.069342
222,30,13.123197
-319,30,13.19999
-318,30,13.243872
221,30,13.300722
280,30,13.356574
103,30,13.409431
-17,30,13.493207
247,30,13.547064
282,30,13.604908
241,30,13.657767
82,30,13.746529
280,30,13.809359
218,30,13.873194
105,30,13.938017
-129,30,14.015808
241,30,14.09061
285,30,14.142468
241,30,14.192338
243,30,14.277132
280,30,14.324494
182,30,14.372369
260,30,14.426022
265,30,14.4719
223,30,14.54956
158,30,14.622318
5,30,14.67418
259,30,14.726887
181,30,14.804679
224,30,14.852055
240,30,14.90591
6,30,14.960279
220,30,15.043058
202,30,15.088936
219,30,15.143788
178,30,15.199639
263,30,15.279426
223,30,15.334281
64,30,15.376168
-324,30,15.418055
243,30,15.473906
260,30,15.55868
68,30,15.601563
66,30,15.642461
255,30,15.694319
165,30,15.772115
144,30,15.814994
101,30,15.858877
193,30,15.911733
23,30,15.979554
140,30,16.024432
-317,30,16.060336
221,30,16.107248
240,30,16.154951
41,30,16.234737
300,30,16.289592
99,30,16.346437
42,30,16.396305
161,30,16.475095
268,30,16.523965
263,30,16.576821
300,30,16.628683
280,30,16.698497
211,30,16.739749
-324,30,16.778395
158,30,16.82526
204,30,16.90006
260,30,16.950186
284,30,16.998581
288,30,17.047711
-319,30,17.091558
67,30,17.169615
42,30,17.218053
41,30,17.265451
284,30,17.315311
184,30,17.394464
126,30,17.445899
240,30,17.496028
122,30,17.545931
267,30,17.624755
163,30,17.67495
300,30,17.730797
221,30,17.783654
244,30,17.86218
-32,30,17.905064
280,30,17.956081
-321,30,17.995167
