#{"t_start": 1589271998.2475817, "env_id": null}
r,l,t
-63,20,0.678398
58,20,0.707746
-27,20,0.739001
-4,20,0.770917
77,20,0.798808
-45,20,0.828753
-25,20,1.133817
-23,20,1.163385
76,20,1.193706
53,20,1.225363
-69,20,1.254178
-66,20,1.284017
-27,20,1.342783
-44,20,1.373085
96,20,1.405032
19,20,1.43418
-6,20,1.465062
-63,20,1.495019
-168,20,1.524902
-3,20,1.580762
94,20,1.613844
54,20,1.650784
-22,20,1.680312
76,20,1.710744
37,20,1.741149
-43,20,1.797779
15,20,1.826664
98,20,1.857762
36,20,1.890639
-43,20,1.919028
158,20,1.947941
-23,20,1.9769
77,20,2.031719
-5,20,2.06064
-41,20,2.090871
95,20,2.122727
-25,20,2.156636
-6,20,2.187555
34,20,2.247342
96,20,2.281483
-105,20,2.310231
74,20,2.341831
35,20,2.372749
-4,20,2.404797
35,20,2.461566
-23,20,2.492069
56,20,2.523641
35,20,2.553562
56,20,2.584479
17,20,2.613801
99,20,2.646754
76,20,2.706598
16,20,2.737157
74,20,2.770401
114,20,2.803907
-22,20,2.836371
-23,20,2.879729
57,20,2.947659
95,20,2.979751
-48,20,3.0093
77,20,3.041204
16,20,3.071925
35,20,3.106831
-5,20,3.137536
-23,20,3.194369
74,20,3.225505
36,20,3.256427
95,20,3.287304
-45,20,3.31826
-22,20,3.349175
54,20,3.406986
-26,20,3.436538
76,20,3.468851
94,20,3.499727
-25,20,3.530259
33,20,3.561176
57,20,3.619368
-126,20,3.64829
-124,20,3.676834
157,20,3.707751
75,20,3.739156
-4,20,3.770436
117,20,3.801866
94,20,3.85925
19,20,3.89013
16,20,3.920051
-25,20,3.955989
116,20,3.986786
15,20,4.017817
33,20,4.075984
36,20,4.108859
114,20,4.140774
-66,20,4.17016
38,20,4.20055
35,20,4.230456
55,20,4.26141
58,20,4.318591
14,20,4.347926
15,20,4.380709
77,20,4.411644
-23,20,4.441566
115,20,4.472987
35,20,4.532838
96,20,4.562722
136,20,4.593743
76,20,4.623939
55,20,4.654649
35,20,4.684792
34,20,4.743636
-5,20,4.773164
38,20,4.802809
96,20,4.834686
76,20,4.865475
56,20,4.897361
-8,20,4.928995
54,20,4.987492
-4,20,5.01655
56,20,5.046428
-42,20,5.075377
36,20,5.108304
77,20,5.139185
136,20,5.197385
32,20,5.228303
-107,20,5.257191
97,20,5.288202
17,20,5.317036
114,20,5.347915
-6,20,5.379755
114,20,5.438245
139,20,5.469155
-23,20,5.499039
116,20,5.530988
139,20,5.56099
134,20,5.592921
97,20,5.650915
155,20,5.681103
95,20,5.71149
114,20,5.74397
77,20,5.77489
74,20,5.803812
97,20,5.859698
77,20,5.889618
116,20,5.919503
158,20,5.948601
34,20,5.979682
136,20,6.010168
-3,20,6.041087
75,20,6.100248
54,20,6.131598
52,20,6.162512
155,20,6.194379
16,20,6.225328
16,20,6.255245
96,20,6.314741
139,20,6.345693
55,20,6.378605
134,20,6.411516
16,20,6.441813
93,20,6.472043
172,20,6.50475
96,20,6.563821
97,20,6.595164
57,20,6.623976
96,20,6.655153
57,20,6.68464
135,20,6.716236
96,20,6.772798
115,20,6.804621
-23,20,6.834671
174,20,6.866513
116,20,6.898195
133,20,6.929114
154,20,6.98862
135,20,7.01866
113,20,7.050826
98,20,7.081746
175,20,7.113535
94,20,7.144604
96,20,7.174848
52,20,7.23221
155,20,7.263788
76,20,7.293997
152,20,7.325901
138,20,7.356996
175,20,7.38885
94,20,7.448442
115,20,7.479358
134,20,7.511606
155,20,7.543521
136,20,7.572855
157,20,7.604635
117,20,7.635515
179,20,7.694553
34,20,7.724992
136,20,7.755452
96,20,7.785807
116,20,7.816291
115,20,7.847431
135,20,7.908579
116,20,7.9389
36,20,7.968345
174,20,8.00026
136,20,8.031305
155,20,8.062221
114,20,8.120486
96,20,8.151968
138,20,8.182747
175,20,8.214405
135,20,8.245319
116,20,8.275769
77,20,8.306723
117,20,8.364246
156,20,8.397802
56,20,8.428223
95,20,8.460101
139,20,8.489444
138,20,8.52136
172,20,8.580268
98,20,8.610988
154,20,8.641907
35,20,8.67183
135,20,8.70075
177,20,8.730062
153,20,8.762056
157,20,8.820115
156,20,8.850369
136,20,8.881325
177,20,8.914488
119,20,8.942964
117,20,8.978907
117,20,9.041816
137,20,9.070906
116,20,9.104091
118,20,9.13395
157,20,9.16514
58,20,9.194024
156,20,9.252643
177,20,9.28471
178,20,9.314581
156,20,9.347037
153,20,9.378564
177,20,9.411414
98,20,9.442245
96,20,9.499554
116,20,9.530144
115,20,9.561726
137,20,9.592933
136,20,9.623791
134,20,9.652677
156,20,9.709113
98,20,9.739317
135,20,9.771124
176,20,9.802042
119,20,9.831893
76,20,9.862021
156,20,9.894933
158,20,9.951725
118,20,9.98117
175,20,10.013632
153,20,10.045408
134,20,10.076271
156,20,10.107763
155,20,10.166962
177,20,10.197491
138,20,10.228374
96,20,10.258551
117,20,10.289504
136,20,10.319541
156,20,10.378257
36,20,10.412339
116,20,10.441641
176,20,10.473637
114,20,10.504639
94,20,10.535976
156,20,10.567537
177,20,10.625502
154,20,10.656423
156,20,10.687815
137,20,10.717845
97,20,10.748375
137,20,10.778322
155,20,10.836563
137,20,10.867806
177,20,10.899832
114,20,10.931393
136,20,10.962045
175,20,10.993001
157,20,11.021886
157,20,11.078834
156,20,11.110748
156,20,11.142627
155,20,11.174577
178,20,11.205244
176,20,11.235788
157,20,11.292948
175,20,11.324827
136,20,11.353833
134,20,11.385889
94,20,11.417802
136,20,11.44872
155,20,11.506915
176,20,11.534804
55,20,11.563762
36,20,11.592688
94,20,11.620574
157,20,11.649498
154,20,11.678421
176,20,11.73331
75,20,11.763706
155,20,11.795325
97,20,11.825573
94,20,11.856525
134,20,11.887944
175,20,11.948501
157,20,11.977856
156,20,12.008544
136,20,12.040744
135,20,12.070622
133,20,12.102537
156,20,12.133974
